name,state,ingredients,calories_per_100g,spice_level,sweet_level,salty_level,sour_level,bitter_level,taste(0/1),prep_time,cook_time,diet_type_veg,diet_type_nonveg,diet_type_fast,diet_type_jain,diet_type_halal,meal_breakfast,meal_brunch,meal_lunch,meal_snack,meal_dinner,course_soup,course_salad,course_appetizer(starter),course_maincourse,course_sidedish,course_dessert,course_beverage,popularity,health_score
Haak,Jammu and Kashmir,"collard greens, spices",100,0.3,0.1,0.6,0.2,0.4,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9
Tabak Maaz,Jammu and Kashmir,"lamb ribs, yogurt, spices",300,0.7,0.1,0.8,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5
Kashmiri Rajma,Jammu and Kashmir,"red kidney beans, spices",180,0.5,0.1,0.6,0.1,0.1,1,30,60,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Nadru Yakhni,Jammu and Kashmir,"lotus stem, yogurt, spices",160,0.5,0.1,0.6,0.3,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Kashmiri Muji Gaad,Jammu and Kashmir,"radish, fish, spices",180,0.6,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Shufta,Jammu and Kashmir,"dry fruits, sugar, spices",300,0.2,0.9,0.1,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Kashmiri Dum Olav,Jammu and Kashmir,"baby potatoes, spices",170,0.6,0.1,0.7,0.1,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7
Methi Chaman,Jammu and Kashmir,"paneer, fenugreek leaves, spices",180,0.5,0.1,0.6,0.2,0.3,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Kashmiri Chicken Curry,Jammu and Kashmir,"chicken, yogurt, spices",220,0.7,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Kashmiri Pulao,Jammu and Kashmir,"rice, dry fruits, saffron",260,0.2,0.4,0.3,0.1,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Tsok Wangun,Jammu and Kashmir,"eggplant, tamarind, spices",140,0.6,0.1,0.5,0.4,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8
Kashmiri Kabargah,Jammu and Kashmir,"lamb ribs, milk, spices",280,0.6,0.1,0.8,0.1,0.1,1,60,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5
Noon Chai,Jammu and Kashmir,"tea, milk, salt, baking soda",70,0.1,0.2,0.8,0.1,0.2,1,5,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.6
Al Yakhn,Jammu and Kashmir,"bottle gourd, yogurt, spices",130,0.4,0.1,0.5,0.3,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Zafraan Kokur,Jammu and Kashmir,"chicken, saffron, yogurt",240,0.6,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Kashmiri Aloo Bukhara Korma,Jammu and Kashmir,"meat, dried plums, spices",260,0.6,0.3,0.7,0.2,0.1,1,25,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6
Muj Chetin,Jammu and Kashmir,"radish, walnut, yogurt",140,0.3,0.1,0.5,0.4,0.2,1,15,5,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,med,0.8
Kashmiri Cheese Kalari,Jammu and Kashmir,"cheese, spices",280,0.4,0.1,0.8,0.1,0.1,1,10,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Kashmiri Mutton Kofta,Jammu and Kashmir,"mutton, spices, yogurt",260,0.7,0.1,0.8,0.2,0.1,1,30,40,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6
Kashmiri Zafrani Chawal,Jammu and Kashmir,"rice, saffron, milk",220,0.1,0.3,0.2,0.1,0.1,1,10,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Kashmiri Tamatar Chaman,Jammu and Kashmir,"paneer, tomatoes, spices",180,0.5,0.2,0.6,0.3,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kashmiri Muji Chettin,Jammu and Kashmir,"radish, yogurt, spices",110,0.4,0.1,0.5,0.4,0.1,1,15,5,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,med,0.8
Kashmiri Bumboo,Jammu and Kashmir,"quince, spices",160,0.3,0.6,0.4,0.2,0.1,1,20,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.7
Kashmiri Gustaba,Jammu and Kashmir,"mutton balls, yogurt, spices",280,0.7,0.1,0.8,0.3,0.1,1,40,50,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kashmiri Tchok Wangun,Jammu and Kashmir,"eggplant, tamarind, spices",140,0.6,0.1,0.5,0.4,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8
Kashmiri Nadir Monje,Jammu and Kashmir,"lotus stem, gram flour, spices",200,0.5,0.1,0.7,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.7
Kashmiri Palak Rogan Josh,Jammu and Kashmir,"spinach, lamb, spices",230,0.7,0.1,0.7,0.2,0.2,1,25,50,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Kashmiri Chok Charvan,Jammu and Kashmir,"chicken liver, spices",220,0.8,0.1,0.7,0.1,0.2,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,med,0.6
Kashmiri Matar Tsaman,Jammu and Kashmir,"green peas, paneer, spices",180,0.4,0.2,0.6,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Kashmiri Harissa,Jammu and Kashmir,"mutton, rice, spices",300,0.6,0.1,0.7,0.1,0.1,1,60,180,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.6
Kashmiri Wazwan,Jammu and Kashmir,"various meats, spices",280,0.8,0.1,0.8,0.2,0.1,1,120,180,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kheer Chap,Jammu and Kashmir,"rice, milk, dry fruits, cardamom",240,0.1,0.9,0.1,0.1,0.1,1,20,60,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6
Shufta Kanegech,Jammu and Kashmir,"paneer, dry fruits, sugar syrup",300,0.1,0.9,0.1,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Bamboodh,Jammu and Kashmir,"milk solids, sugar",320,0.1,0.9,0.1,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.4
Khubani Ka Meetha,Jammu and Kashmir,"apricots, sugar, cream",220,0.1,0.8,0.1,0.2,0.1,1,20,40,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6
Makhand'e,Jammu and Kashmir,"flour, sugar, oil",280,0.1,0.8,0.1,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.4
Shermal,Jammu and Kashmir,"flour, milk, sugar, saffron",240,0.1,0.7,0.2,0.1,0.1,1,30,25,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Babroo,Jammu and Kashmir,"wheat flour, sugar, oil",260,0.1,0.7,0.2,0.1,0.1,1,20,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,med,0.5
Katlam,Jammu and Kashmir,"flour, nuts, sugar, ghee",300,0.1,0.8,0.2,0.1,0.1,1,40,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.4
Ghaar,Jammu and Kashmir,"rice, coconut, cardamom, sugar",260,0.1,0.8,0.1,0.1,0.1,1,30,40,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.5
Til Kulcha,Jammu and Kashmir,"flour, sesame seeds, sugar",280,0.1,0.6,0.3,0.1,0.2,1,25,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Masala Tchot,Jammu and Kashmir,"flour, spices, oil",220,0.7,0.1,0.6,0.1,0.1,1,20,15,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,high,0.6
Paneer Pakora,Jammu and Kashmir,"paneer, gram flour, spices",280,0.6,0.1,0.7,0.1,0.1,1,15,10,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Nadru Chips,Jammu and Kashmir,"lotus stem, oil, salt",200,0.3,0.1,0.8,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.4
Kashmiri Samosa,Jammu and Kashmir,"flour, potatoes, peas, spices",240,0.7,0.1,0.6,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Monji Hakh Pakora,Jammu and Kashmir,"kohlrabi leaves, gram flour, spices",180,0.6,0.1,0.7,0.2,0.3,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.7
Kashmiri Kachori,Jammu and Kashmir,"flour, lentils, spices",260,0.7,0.1,0.6,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Shufta Tiki,Jammu and Kashmir,"potatoes, dry fruits, sugar, spices",220,0.4,0.5,0.5,0.1,0.1,1,25,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.6
Kashmiri Paratha,Jammu and Kashmir,"flour, ghee, salt",280,0.2,0.1,0.6,0.1,0.1,1,20,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.5
Gaev Tchaman Pakora,Jammu and Kashmir,"cheese, gram flour, spices",300,0.6,0.1,0.7,0.1,0.1,1,15,10,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Kashmiri Masala Tsot,Jammu and Kashmir,"flour, poppy seeds, sesame seeds, spices",240,0.6,0.1,0.7,0.1,0.2,1,25,20,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,high,0.6
Syun Olav,Jammu and Kashmir,"meat, potatoes, spices",260,0.7,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Mutton Seekh Kebab,Jammu and Kashmir,"minced mutton, spices",280,0.8,0.1,0.7,0.1,0.1,1,40,20,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5
Kashmiri Baingan,Jammu and Kashmir,"eggplant, yogurt, spices",160,0.6,0.1,0.6,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kashmiri Mushroom Curry,Jammu and Kashmir,"mushrooms, spices, cream",180,0.7,0.2,0.6,0.1,0.1,1,15,25,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kashmiri Dal,Jammu and Kashmir,"lentils, spices, ghee",200,0.5,0.1,0.6,0.2,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,high,0.8
Kashmiri Paneer Kofta,Jammu and Kashmir,"paneer, spices, nuts, cream",280,0.6,0.2,0.6,0.1,0.1,1,30,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kashmiri Fish Curry,Jammu and Kashmir,"fish, mustard oil, spices",220,0.7,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Kashmiri Malai Kofta,Jammu and Kashmir,"vegetables, cheese, cream, spices",260,0.5,0.3,0.6,0.1,0.1,1,40,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kashmiri Bhuna Ghost,Jammu and Kashmir,"mutton, spices, onions",280,0.8,0.1,0.7,0.2,0.1,1,30,90,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kashmiri Vegetable Rogan Josh,Jammu and Kashmir,"mixed vegetables, yogurt, spices",180,0.7,0.1,0.6,0.2,0.1,1,25,45,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Sheer Chai,Jammu and Kashmir,"tea, milk, salt, almonds, pistachios",100,0.1,0.2,0.8,0.1,0.2,1,10,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Kashmiri Saffron Kehwa,Jammu and Kashmir,"green tea, saffron, nuts",80,0.1,0.3,0.1,0.1,0.2,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.9
Gulkand Sharbat,Jammu and Kashmir,"rose petal preserve, water, sugar",120,0.1,0.8,0.1,0.2,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.6
Kashmiri Masala Chai,Jammu and Kashmir,"tea, milk, spices",90,0.4,0.3,0.2,0.1,0.1,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Kashmiri Badam Milk,Jammu and Kashmir,"milk, almonds, sugar",140,0.1,0.6,0.1,0.1,0.1,1,15,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Zaffrani Doodh,Jammu and Kashmir,"milk, saffron, sugar",130,0.1,0.7,0.1,0.1,0.1,1,5,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Kashmiri Lemonade,Jammu and Kashmir,"lemon juice, water, sugar, Kashmiri spices",70,0.3,0.5,0.1,0.6,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.7
Kashmiri Rose Lassi,Jammu and Kashmir,"yogurt, rose syrup, sugar",120,0.1,0.6,0.2,0.3,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Kashmiri Khatta,Jammu and Kashmir,"tamarind, jaggery, water, spices",90,0.3,0.5,0.1,0.8,0.1,1,15,10,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.7
Teth Tsai,Jammu and Kashmir,"tea, salt, butter",80,0.1,0.1,0.9,0.1,0.2,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.6
Mui Borok,Tripura,"bamboo shoots, pork, spices",220,0.7,0.1,0.8,0.2,0.2,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Chakhwi,Tripura,"pork, bamboo shoots, ghost chili",250,0.9,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5
Bangwi,Tripura,"rice flour, pork, spices",280,0.6,0.1,0.7,0.1,0.1,1,20,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5
Godok,Tripura,"fish, banana flower, spices",180,0.6,0.1,0.7,0.2,0.2,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Berma Bwtwi,Tripura,"fermented fish, chili, spices",150,0.8,0.1,0.9,0.3,0.1,1,10,20,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,high,0.5
Wahan Mosdeng,Tripura,"pork, bamboo shoots, chili",230,0.8,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5
Awandru,Tripura,"mustard leaves, dried fish, spices",120,0.7,0.1,0.8,0.3,0.2,1,15,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,med,0.7
Gudok,Tripura,"mixed vegetables, dried fish, spices",140,0.6,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Bhangui,Tripura,"rice flour, pork fat, spices",300,0.5,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,med,0.4
Chakhwi Bwthar,Tripura,"chicken, bamboo shoots, ghost chili",220,0.9,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Muya Awandru,Tripura,"bamboo shoots, pork, spices",200,0.7,0.1,0.8,0.2,0.2,1,20,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kosoi Bwtwi,Tripura,"snails, bamboo shoots, spices",180,0.6,0.1,0.7,0.2,0.1,1,30,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6
Pachwi,Tripura,"mixed herbs, chili, fermented fish",100,0.8,0.1,0.8,0.3,0.2,1,15,10,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,high,0.7
Mritika Prohor,Tripura,"rice flour, jaggery, coconut",220,0.1,0.8,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6
Kasoi Bai,Tripura,"snails, mixed vegetables, spices",160,0.6,0.1,0.7,0.2,0.1,1,30,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6
Panch Phoron Tarkari,Tripura,"mixed vegetables, panch phoron spice mix",120,0.5,0.2,0.6,0.2,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8
Chingri Malai Curry,Tripura,"prawns, coconut milk, spices",200,0.6,0.3,0.7,0.1,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Macher Jhol,Tripura,"fish, potatoes, spices",160,0.6,0.1,0.7,0.2,0.1,1,15,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Shak Bhaja,Tripura,"leafy greens, spices",80,0.4,0.1,0.5,0.2,0.3,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9
Chanar Jilipi,Tripura,"cottage cheese, sugar syrup",280,0.1,0.9,0.2,0.1,0.1,1,30,20,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,high,0.4
Kheer Puli,Tripura,"rice flour, milk, sugar",220,0.1,0.8,0.2,0.1,0.1,1,30,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5
Chingri Bhape,Tripura,"prawns, coconut, mustard paste",180,0.7,0.2,0.7,0.3,0.2,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Shukto,Tripura,"mixed vegetables, bitter gourd, milk",100,0.3,0.2,0.5,0.2,0.6,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Lau Ghonto,Tripura,"bottle gourd, lentils, spices",120,0.4,0.2,0.6,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8
Morich Chutney,Tripura,"green chilies, spices",60,1,0.1,0.7,0.3,0.2,1,10,10,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,high,0.7
Bhangui Bwtwi,Tripura,"rice flour dumplings, pork, spices",280,0.6,0.1,0.7,0.1,0.1,1,30,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5
Chingri Malaikari,Tripura,"prawns, coconut milk, spices",200,0.6,0.3,0.7,0.1,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Tok Dal,Tripura,"split pigeon peas, raw mango, spices",140,0.5,0.1,0.6,0.7,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Khar,Tripura,"raw papaya, dried fish, spices",120,0.6,0.1,0.8,0.3,0.2,1,20,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,med,0.7
Muktangan Bwtwi,Tripura,"pork intestines, bamboo shoots, spices",240,0.8,0.1,0.8,0.2,0.1,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.4
Chalta Chutney,Tripura,"chalta fruit, sugar, spices",80,0.4,0.6,0.3,0.7,0.1,1,15,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,med,0.7
Loitta Shutki,Tripura,"dried bombay duck fish, onions, chili",180,0.8,0.1,0.9,0.2,0.1,1,15,25,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Pithali,Tripura,"rice flour, jaggery, coconut",220,0.1,0.8,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6
Chingri Bora,Tripura,"prawns, gram flour, spices",200,0.7,0.1,0.8,0.1,0.1,1,20,15,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,high,0.6
Macher Kalia,Tripura,"fish, yogurt, spices",180,0.7,0.2,0.7,0.3,0.1,1,20,35,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Alu Posto,Tripura,"potatoes, poppy seeds, spices",160,0.5,0.1,0.6,0.1,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7
Chui Jhal Bwtwi,Tripura,"meat (usually pork), chui jhal, spices",240,0.9,0.1,0.7,0.2,0.3,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.5
Panta Bhat,Tripura,"fermented rice, onions, chili",120,0.4,0.1,0.5,0.3,0.1,1,480,5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.7
Muri Ghonto,Tripura,"fish head, rice, spices",200,0.6,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Chunga Pitha,Tripura,"rice flour, jaggery, bamboo",200,0.1,0.7,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.6
Boror Jhal,Tripura,"lentil dumplings, mustard sauce",150,0.6,0.1,0.7,0.4,0.2,1,25,35,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Chingri Macher Malaikari,Tripura,"prawns, coconut milk, spices",210,0.6,0.3,0.7,0.1,0.1,1,25,35,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Begun Pora,Tripura,"roasted eggplant, spices",90,0.5,0.1,0.6,0.2,0.3,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.8
Litti Chokha,Bihar,"sattu, wheat flour, spices",250,0.7,0.1,0.6,0.2,0.1,1,40,30,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,high,0.7
Sattu ka Paratha,Bihar,"sattu, wheat flour, spices",280,0.5,0.1,0.5,0.1,0.1,1,20,15,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,high,0.6
Bihari Kebab,Bihar,"mutton, spices, yogurt",220,0.8,0.1,0.7,0.2,0.1,1,30,25,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,high,0.6
Kadhi Badi,Bihar,"gram flour, yogurt, spices",150,0.6,0.1,0.6,0.5,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,med,0.7
Thekua,Bihar,"wheat flour, jaggery, fennel seeds",300,0.2,0.7,0.1,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Chana Ghugni,Bihar,"chickpeas, onion, spices",180,0.6,0.1,0.6,0.2,0.1,1,15,25,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,high,0.8
Makhana Kheer,Bihar,"fox nuts, milk, sugar",220,0.1,0.8,0.1,0.1,0.1,1,10,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,med,0.7
Bihari Fish Curry,Bihar,"fish, mustard oil, spices",180,0.7,0.1,0.7,0.3,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Khaja,Bihar,"wheat flour, sugar, oil",320,0.1,0.8,0.1,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.4
Mutton Korma,Bihar,"mutton, yogurt, spices",250,0.8,0.1,0.7,0.1,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Aloo Chokha,Bihar,"potato, onion, mustard oil",130,0.5,0.1,0.6,0.2,0.1,1,15,20,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,high,0.6
